Date,Open,High,Low,Close,Adj Close,Volume
2011-05-31,14.820000,14.980000,14.000000,14.660000,11.733939,97418000
2011-06-30,14.760000,15.550000,14.550000,15.530000,12.430291,91132000
2011-07-31,15.600000,15.730000,12.740000,13.250000,10.605367,165232000
2011-08-31,13.250000,13.440000,11.730000,11.840000,9.663008,117082000
2011-09-30,11.590000,12.890000,10.810000,12.360000,10.087398,112629000
2011-10-31,12.320000,13.060000,11.810000,12.400000,10.120042,109461000
2011-11-30,12.750000,12.890000,11.260000,11.520000,9.401845,88210000
2011-12-31,11.570000,13.550000,11.570000,13.550000,11.058594,94687000
2012-01-31,13.450000,14.360000,13.350000,14.200000,11.589080,85642000
2012-02-29,14.190000,14.600000,13.840000,14.180000,11.572758,84717000
2012-03-31,14.180000,14.180000,13.150000,13.960000,11.393209,129556000
2012-04-30,13.970000,14.250000,13.100000,13.220000,10.789270,110222000
2012-05-31,13.110000,14.010000,12.910000,13.870000,11.548271,69538000
2012-06-30,14.000000,14.800000,13.880000,14.740000,12.272642,86287000
2012-07-31,14.620000,14.990000,14.360000,14.450000,12.031184,64225000
2012-08-31,14.420000,14.760000,14.120000,14.390000,12.209444,62642000
2012-09-30,14.280000,14.460000,13.840000,13.900000,11.793694,65436000
2012-10-31,13.810000,14.480000,13.660000,14.450000,12.260351,78727000
2012-11-30,14.490000,14.990000,14.270000,14.840000,12.591254,54825000
2012-12-31,14.840000,14.990000,14.300000,14.960000,12.693070,100658000
2013-01-31,15.000000,15.350000,14.860000,15.110000,12.820340,74582000
2013-02-28,15.220000,16.030001,14.960000,16.000000,13.575475,80096000
2013-03-31,16.080000,16.840000,15.450000,16.760000,14.220310,93136000
2013-04-30,16.760000,17.900000,16.760000,17.160000,14.559696,127485000
2013-05-31,16.990000,16.990000,15.180000,15.500000,13.360229,114663000
2013-06-30,15.380000,16.920000,15.360000,16.700001,14.394569,69833000
2013-07-31,16.950001,17.559999,15.800000,15.800000,13.618814,95631000
2013-08-31,15.920000,16.950001,15.880000,16.420000,14.384835,76520000
2013-09-30,16.450001,16.840000,16.110001,16.740000,14.665173,59296642
2013-10-31,16.700001,17.240000,16.639999,17.180000,15.050639,53027000
2013-11-30,17.070000,17.170000,16.330000,17.100000,14.980555,78293000
2013-12-31,17.100000,17.490000,16.340000,16.469999,14.428638,73390000
2014-01-31,16.400000,16.780001,16.170000,16.520000,14.472441,73571000
2014-02-28,16.299999,16.440001,15.650000,16.170000,14.165822,118578000
2014-03-31,16.270000,17.309999,16.260000,16.940001,14.840386,87366000
2014-04-30,16.940001,17.290001,16.639999,16.900000,14.805344,72519000
2014-05-31,16.930000,17.190001,16.719999,16.750000,14.936281,65628000
2014-06-30,16.799999,18.480000,16.719999,18.219999,16.247107,83113000
2014-07-31,18.110001,18.379999,17.620001,17.920000,15.979592,67032000
2014-08-31,17.950001,18.610001,17.860001,18.420000,16.684410,76495000
2014-09-30,18.420000,18.549999,17.680000,18.480000,16.738756,72620625
2014-10-31,18.600000,20.020000,18.590000,19.830000,17.961554,75398400
2014-11-30,19.889999,20.670000,18.879999,20.600000,18.659004,81429686
2014-12-31,20.600000,20.629999,19.620001,19.790001,17.925325,82504983
2015-01-31,19.799999,19.950001,19.139999,19.570000,17.726053,77879900
2015-02-28,19.500000,20.570000,19.219999,20.360001,18.441618,90021400
2015-03-31,20.420000,21.230000,20.209999,21.090000,19.102835,65922600
2015-04-30,21.090000,21.170000,20.150000,20.299999,18.652727,54803500
2015-05-31,20.299999,21.400000,19.809999,20.690001,19.011080,83685606
2015-06-30,20.660000,21.500000,19.900000,20.180000,18.542467,84707881
2015-07-31,20.260000,20.370001,17.570000,17.760000,16.558704,163347900
2015-08-31,17.750000,18.049999,16.080000,16.209999,15.113547,146194200
2015-09-30,16.270000,18.250000,16.000000,17.270000,16.101849,112953500
2015-10-31,17.340000,17.930000,16.500000,16.500000,15.383931,84590300
2015-11-30,16.480000,16.809999,16.010000,16.690001,15.561080,76648936
2015-12-31,16.690001,16.690001,13.450000,14.060000,13.108975,176862904
2016-01-31,14.150000,14.170000,13.010000,13.580000,12.661443,176940354
2016-02-29,13.610000,16.020000,13.520000,15.380000,14.339690,166282536
2016-03-31,15.210000,15.970000,14.850000,15.280000,14.246452,96019018
2016-04-30,15.280000,15.800000,14.630000,15.500000,14.451573,108105045
2016-05-31,15.600000,16.100000,15.000000,15.760000,14.986890,155564312
