period,soi,rec
1,0.377,68.63
2,0.246,68.63
3,0.311,68.63
4,0.104,68.63
5,-0.016,68.63
6,0.235,68.63
7,0.137,59.16
8,0.191,48.7
9,-0.016,47.54
10,0.29,50.91
11,0.038,44.7
12,-0.016,42.85
13,-0.158,39.62
14,0.366,44.45
15,0.607,38.98
16,-0.355,42.62
17,-0.18,48.27
18,0.268,59.39
19,0.093,51.66
20,0.027,38.55
21,0.246,60.33
22,0.202,72.27
23,0.432,68.62
24,0.617,69.63
25,0.76,72.2
26,0.891,67.87
27,0.607,64.91001
28,0.574,53.85
29,0.005,37.96
30,0.475,23.23
31,0.202,12.68
32,-0.027,9.84
33,-0.038,7.82
34,0.716,11.78
35,0.836,10.22
36,0.891,12.19
37,0.53,18.6
38,0.53,26.97
39,0.377,22.52
40,-0.235,19.18
41,-0.585,17.14
42,-0.18,18.61
43,-0.53,20.02
44,-0.464,22.65
45,-0.443,38.99
46,0.049,76.55
47,0.454,87.99
48,0.257,99.8
49,0.41,96.69
50,0.224,87.45
51,0.148,88.57
52,-0.432,97.43
53,-0.093,99.99
54,-0.268,94.88
55,0.158,86.99
56,-0.06,79.73001
57,-0.399,92.35
58,0.235,91.29
59,0.366,94.31
60,0.202,84.95
61,0.344,82.97
62,-0.038,92.98001
63,0.29,81.06
64,-0.126,62.37
65,-0.366,52.99
66,-0.115,39.53
67,-0.301,42.9
68,-0.486,33.76
69,-0.137,40.97
70,0.738,60.5
71,0.366,66.61
72,0.366,80.38
73,0.65,95.86
74,0.628,97.74
75,0.126,80.24
76,0.169,73.44
77,0.137,65.67
78,-0.257,47.81
79,0.169,33.51
80,-0.093,34.22
81,0.475,32.95
82,0.639,32.55
83,0.596,46.92
84,0.749,44.64
85,0.191,53.02
86,1,41.98
87,0.486,30.43
88,0.41,24.43
89,0.158,18.05
90,0.126,20.98
91,0.06,12.37
92,0.246,12.03
93,0.738,12.41
94,0.803,15.89
95,0.421,20.46
96,0.617,26.95
97,0.705,30.29
98,0.639,26.21
99,0.454,23.34
100,0.311,25.55
101,0.355,25.4
102,-0.158,24.16
103,-0.038,23.34
104,0.115,24.38
105,0.137,27.2
106,0.257,29.18
107,0.115,43.3
108,0.038,53.92
109,0.082,59.76
110,0.148,64.52
111,0.06,65.84
112,-0.191,70.19
113,-0.607,75.27
114,-0.585,77.63
115,-0.268,76.96
116,-0.093,77.7
117,-0.093,85.13
118,0.257,99.33999
119,-0.005,97.7
120,0.224,97.01999
121,0.169,98.83
122,0.432,99.8
123,0.202,96.74
124,-0.366,93.54
125,-0.661,82.08
126,0.093,71.51
127,-0.716,49.61
128,0.148,41.76
129,-0.093,59.78
130,0.279,90.97
131,0.432,85.26
132,-0.104,100
133,0.607,98.5
134,0.18,98.7
135,0.071,93.1
136,0.246,79.37
137,-0.432,81.97
138,0.06,55.94
139,-0.388,50.39
140,0.202,48.64
141,-0.104,40.12
142,0.191,63.04
143,0.475,60.51
144,0.552,78.72
145,0.169,71.37
146,0.333,76.43
147,-0.005,71.25
148,-0.038,56.46
149,-0.126,41.84
150,-0.443,41.24
151,-0.016,35.28
152,0.027,39.86
153,0.333,45.13
154,0.355,53.8
155,0.344,77.54
156,0.115,80.02
157,0.311,81.28
