Month,Rock Phosphate Price (US Dollars per Metric Ton),Rice Price (US Dollars per Metric Ton),Rock Phosphate ROC,Rice ROC,Rock Phosphate / Rice Price Ratio
Jul-02,41,199.61,-,-,0.2054
Aug-02,41,191.32,0.00%,-4.15%,0.2143
Sep-02,41,188.48,0.00%,-1.48%,0.2175
Oct-02,39.6,185.48,-3.41%,-1.59%,0.2135
Nov-02,38,187.19,-4.04%,0.92%,0.203
Dec-02,38,185.27,0.00%,-1.03%,0.2051
Jan-03,38,199.74,0.00%,7.81%,0.1902
Feb-03,38,198.75,0.00%,-0.50%,0.1912
Mar-03,38,196.95,0.00%,-0.91%,0.1929
Apr-03,38,195.18,0.00%,-0.90%,0.1947
May-03,38,197.73,0.00%,1.31%,0.1922
Jun-03,38,203.67,0.00%,3.00%,0.1866
Jul-03,38,199.48,0.00%,-2.06%,0.1905
Aug-03,38,196.43,0.00%,-1.53%,0.1935
Sep-03,38,202.86,0.00%,3.27%,0.1873
Oct-03,38,204,0.00%,0.56%,0.1863
Nov-03,38,201.75,0.00%,-1.10%,0.1884
Dec-03,38,197,0.00%,-2.35%,0.1929
Jan-04,38,207.45,0.00%,5.30%,0.1832
Feb-04,38.75,213.25,1.97%,2.80%,0.1817
Mar-04,39.5,240.35,1.94%,12.71%,0.1643
Apr-04,39.5,253.41,0.00%,5.43%,0.1559
May-04,42,251.57,6.33%,-0.73%,0.167
Jun-04,42,244.23,0.00%,-2.92%,0.172
Jul-04,42,240.32,0.00%,-1.60%,0.1748
Aug-04,42,252.55,0.00%,5.09%,0.1663
Sep-04,42,252,0.00%,-0.22%,0.1667
Oct-04,42,253.52,0.00%,0.60%,0.1657
Nov-04,42,262.32,0.00%,3.47%,0.1601
Dec-04,42,278.43,0.00%,6.14%,0.1508
Jan-05,42,288.38,0.00%,3.57%,0.1456
Feb-05,42,292.35,0.00%,1.38%,0.1437
Mar-05,42,295,0.00%,0.91%,0.1424
Apr-05,42,299.14,0.00%,1.40%,0.1404
May-05,42,295.27,0.00%,-1.29%,0.1422
Jun-05,42,287.05,0.00%,-2.78%,0.1463
Jul-05,42,278.71,0.00%,-2.91%,0.1507
Aug-05,42,283.48,0.00%,1.71%,0.1482
Sep-05,42,287.41,0.00%,1.39%,0.1461
Oct-05,42,290.71,0.00%,1.15%,0.1445
Nov-05,42,278.95,0.00%,-4.05%,0.1506
Dec-05,42,277.27,0.00%,-0.60%,0.1515
Jan-06,42,284.45,0.00%,2.59%,0.1477
Feb-06,42,296.4,0.00%,4.20%,0.1417
Mar-06,43,297.74,2.38%,0.45%,0.1444
Apr-06,43,298.5,0.00%,0.26%,0.1441
May-06,43,301.26,0.00%,0.92%,0.1427
Jun-06,44.5,305.59,3.49%,1.44%,0.1456
Jul-06,45.5,312.43,2.25%,2.24%,0.1456
Aug-06,45.5,313.39,0.00%,0.31%,0.1452
Sep-06,45.5,312.9,0.00%,-0.16%,0.1454
Oct-06,45.5,309.64,0.00%,-1.04%,0.1469
Nov-06,45.5,300.59,0.00%,-2.92%,0.1514
Dec-06,45.5,309.29,0.00%,2.89%,0.1471
Jan-07,45.5,313.48,0.00%,1.35%,0.1451
Feb-07,45.5,316.05,0.00%,0.82%,0.144
Mar-07,45.5,326.18,0.00%,3.21%,0.1395
Apr-07,45.5,322.29,0.00%,-1.19%,0.1412
May-07,54.13,320.61,18.97%,-0.52%,0.1688
Jun-07,80,326.29,47.79%,1.77%,0.2452
Jul-07,80,332.55,0.00%,1.92%,0.2406
Aug-07,80,331.48,0.00%,-0.32%,0.2413
Sep-07,80,330,0.00%,-0.45%,0.2424
Oct-07,80,335.3,0.00%,1.61%,0.2386
Nov-07,80,356.5,0.00%,6.32%,0.2244
Dec-07,135,378,68.75%,6.03%,0.3571
Jan-08,190,393.48,40.74%,4.10%,0.4829
Feb-08,190,481.14,0.00%,22.28%,0.3949
Mar-08,323.13,672.64,70.07%,39.80%,0.4804
Apr-08,367.5,"1,015.21",13.73%,50.93%,0.362
May-08,367.5,"1,009.32",0.00%,-0.58%,0.3641
Jun-08,367.5,834.6,0.00%,-17.31%,0.4403
Jul-08,367.5,799,0.00%,-4.27%,0.4599
Aug-08,430,737,17.01%,-7.76%,0.5834
Sep-08,430,722,0.00%,-2.04%,0.5956
Oct-08,414,624,-3.72%,-13.57%,0.6635
Nov-08,350,563.25,-15.46%,-9.74%,0.6214
Dec-08,350,550.75,0.00%,-2.22%,0.6355
Jan-09,265,615.25,-24.29%,11.71%,0.4307
Feb-09,157.5,634,-40.57%,3.05%,0.2484
Mar-09,157.5,625.25,0.00%,-1.38%,0.2519
Apr-09,125.5,577.25,-20.32%,-7.68%,0.2174
May-09,117.5,540.75,-6.37%,-6.32%,0.2173
Jun-09,96.88,548.6,-17.55%,1.45%,0.1766
Jul-09,90,623,-7.10%,13.56%,0.1445
Aug-09,90,576.25,0.00%,-7.50%,0.1562
Sep-09,90,593.67,0.00%,3.02%,0.1516
Oct-09,90,566.25,0.00%,-4.62%,0.1589
Nov-09,90,566.25,0.00%,0.00%,0.1589
Dec-09,90,606,0.00%,7.02%,0.1485
Jan-10,97.5,598,8.33%,-1.32%,0.163
Feb-10,103.75,584.75,6.41%,-2.22%,0.1774
Mar-10,105,540.13,1.20%,-7.63%,0.1944
Apr-10,125,502.23,19.05%,-7.02%,0.2489
May-10,125,472.48,0.00%,-5.92%,0.2646
Jun-10,125,458.55,0.00%,-2.95%,0.2726
Jul-10,125,470.68,0.00%,2.65%,0.2656
Aug-10,125,486.86,0.00%,3.44%,0.2567
Sep-10,125,519.95,0.00%,6.80%,0.2404
Oct-10,140,533.13,12.00%,2.53%,0.2626
Nov-10,140,543.14,0.00%,1.88%,0.2578
Dec-10,140,536.78,0.00%,-1.17%,0.2608
Jan-11,155,528.38,10.71%,-1.56%,0.2933
Feb-11,160,532.8,3.23%,0.84%,0.3003
Mar-11,160,508.96,0.00%,-4.47%,0.3144
Apr-11,182.5,500.57,14.06%,-1.65%,0.3646
May-11,182.5,500.55,0.00%,0.00%,0.3646
Jun-11,182.5,518.09,0.00%,3.50%,0.3523
Jul-11,197.5,546.19,8.22%,5.42%,0.3616
Aug-11,197.5,577.3,0.00%,5.70%,0.3421
Sep-11,197.5,615.55,0.00%,6.63%,0.3209
Oct-11,198.75,602.14,0.63%,-2.18%,0.3301
Nov-11,202.5,609.09,1.89%,1.15%,0.3325
Dec-11,202.5,580.91,0.00%,-4.63%,0.3486
Jan-12,202.5,541.06,0.00%,-6.86%,0.3743
Feb-12,192.5,547.48,-4.94%,1.19%,0.3516
Mar-12,192.5,577.05,0.00%,5.40%,0.3336
Apr-12,188.13,585.95,-2.27%,1.54%,0.3211
May-12,175,612.43,-6.98%,4.52%,0.2857
Jun-12,175,606.14,0.00%,-1.03%,0.2887
Jul-12,180,578.36,2.86%,-4.58%,0.3112
Aug-12,185,582.87,2.78%,0.78%,0.3174
Sep-12,185,590.5,0.00%,1.31%,0.3133
Oct-12,185,584.74,0.00%,-0.98%,0.3164
Nov-12,185,590.73,0.00%,1.02%,0.3132
Dec-12,185,565.52,0.00%,-4.27%,0.3271
Jan-13,179,573.39,-3.24%,1.39%,0.3122
Feb-13,170,574.07,-5.03%,0.12%,0.2961
Mar-13,170,564.52,0.00%,-1.66%,0.3011
Apr-13,168.75,553.73,-0.74%,-1.91%,0.3048
May-13,165,552.09,-2.22%,-0.30%,0.2989
Jun-13,165,546.25,0.00%,-1.06%,0.3021
Jul-13,157,538.26,-4.85%,-1.46%,0.2917
Aug-13,145,503.82,-7.64%,-6.40%,0.2878
Sep-13,127.5,470,-12.07%,-6.71%,0.2713
Oct-13,120.6,453.26,-5.41%,-3.56%,0.2661
Nov-13,108.5,448.81,-10.03%,-0.98%,0.2418
Dec-13,101,447.55,-6.91%,-0.28%,0.2257
Jan-14,102.2,441.04,1.19%,-1.45%,0.2317
Feb-14,103,447,0.78%,1.35%,0.2304
Mar-14,108,434.14,4.85%,-2.88%,0.2488
Apr-14,108,409.94,0.00%,-5.57%,0.2635
May-14,112,403.59,3.70%,-1.55%,0.2775
Jun-14,110,414.67,-1.79%,2.75%,0.2653
Jul-14,110,428,0.00%,3.21%,0.257
Aug-14,110,440.38,0.00%,2.89%,0.2498
Sep-14,115,436.5,4.55%,-0.88%,0.2635
Oct-14,115,432.7,0.00%,-0.87%,0.2658
Nov-14,115,419,0.00%,-3.17%,0.2745
Dec-14,115,410.74,0.00%,-1.97%,0.28
Jan-15,115,409.68,0.00%,-0.26%,0.2807
Feb-15,115,409.5,0.00%,-0.04%,0.2808
Mar-15,115,400.73,0.00%,-2.14%,0.287
