period,soi,rec
1,0.377,168.63
2,0.246,268.63
3,0.311,368.63
4,0.104,468.63
5,-0.016,568.63
6,0.235,668.63
7,0.137,759.16
8,0.191,848.7
9,-0.016,947.54
10,0.29,1050.91
11,0.038,1144.7
12,-0.016,1242.85
13,-0.158,1339.62
14,0.366,1444.45
15,0.607,1538.98
16,-0.355,1642.62
17,-0.18,1748.27
18,0.268,1859.39
19,0.093,1951.66
20,0.027,2038.55
21,0.246,2160.33
22,0.202,2272.27
23,0.432,2368.62
24,0.617,2469.63
25,0.76,2572.2
26,0.891,2667.87
27,0.607,2764.91001
28,0.574,2853.85
29,0.005,2937.96
30,0.475,3023.23
31,0.202,3112.68
32,-0.027,329.84
33,-0.038,337.82
34,0.716,3411.78
35,0.836,3510.22
36,0.891,3612.19
37,0.53,3718.6
38,0.53,3826.97
39,0.377,3922.52
40,-0.235,4019.18
41,-0.585,4117.14
42,-0.18,4218.61
43,-0.53,4320.02
44,-0.464,4422.65
45,-0.443,4538.99
46,0.049,4676.55
47,0.454,4787.99
48,0.257,4899.8
49,0.41,4996.69
50,0.224,5087.45
51,0.148,5188.57
52,-0.432,5297.43
53,-0.093,5399.99
54,-0.268,5494.88
55,0.158,5586.99
56,-0.06,5679.73001
57,-0.399,5792.35
58,0.235,5891.29
59,0.366,5994.31
60,0.202,6084.95
61,0.344,6182.97
62,-0.038,6292.98001
63,0.29,6381.06
64,-0.126,6462.37
65,-0.366,6552.99
66,-0.115,6639.53
67,-0.301,6742.9
68,-0.486,6833.76
69,-0.137,6940.97
70,0.738,7060.5
71,0.366,7166.61
72,0.366,7280.38
73,0.65,7395.86
74,0.628,7497.74
75,0.126,7580.24
76,0.169,7673.44
77,0.137,7765.67
78,-0.257,7847.81
79,0.169,7933.51
80,-0.093,8034.22
81,0.475,8132.95
82,0.639,8232.55
83,0.596,8346.92
84,0.749,8444.64
85,0.191,8553.02
86,1,8641.98
87,0.486,8730.43
88,0.41,8824.43
89,0.158,8918.05
90,0.126,9020.98
91,0.06,9112.37
92,0.246,9212.03
93,0.738,9312.41
94,0.803,9415.89
95,0.421,9520.46
96,0.617,9626.95
97,0.705,9730.29
98,0.639,9826.21
99,0.454,9923.34
100,0.311,10025.55
101,0.355,10125.4
102,-0.158,10224.16
103,-0.038,10323.34
104,0.115,10424.38
105,0.137,10527.2
106,0.257,10629.18
107,0.115,10743.3
108,0.038,10853.92
109,0.082,10959.76
110,0.148,11064.52
111,0.06,11165.84
112,-0.191,11270.19
113,-0.607,11375.27
114,-0.585,11477.63
115,-0.268,11576.96
116,-0.093,11677.7
117,-0.093,11785.13
118,0.257,11899.33999
119,-0.005,11997.7
120,0.224,12097.01999
121,0.169,12198.83
122,0.432,12299.8
123,0.202,12396.74
124,-0.366,12493.54
125,-0.661,12582.08
126,0.093,12671.51
127,-0.716,12749.61
128,0.148,12841.76
129,-0.093,12959.78
130,0.279,13090.97
131,0.432,13185.26
132,-0.104,132100
133,0.607,13398.5
134,0.18,13498.7
135,0.071,13593.1
136,0.246,13679.37
137,-0.432,13781.97
138,0.06,13855.94
139,-0.388,13950.39
140,0.202,14048.64
141,-0.104,14140.12
142,0.191,14263.04
143,0.475,14360.51
144,0.552,14478.72
145,0.169,14571.37
146,0.333,14676.43
147,-0.005,14771.25
148,-0.038,14856.46
149,-0.126,14941.84
150,-0.443,15041.24
151,-0.016,15135.28
152,0.027,15239.86
153,0.333,15345.13
154,0.355,15453.8
155,0.344,15577.54
156,0.115,15680.02
157,0.311,15781.28
158,0.596,15873.58
159,0.005,15966.06
160,0.388,16059.46
161,-0.5080001,16159.49
162,-0.552,16251.9
163,-0.858,16335.21
164,-0.596,16439.65
165,0.06,16531.9
166,0.071,16661.56
167,0.224,16788.25
168,0.279,16896.46
169,0.322,16983.94
170,0.18,17089.05
171,0.126,17192.97
172,0.082,17298.29
173,0.126,17399.79
174,-0.213,17494.01
175,-0.235,17587.06
176,0.169,17680.46
177,0.388,17774.86
178,0.519,17867.18
179,0.126,17973.85
180,0.41,18080.15
181,0.738,18169.45
182,0.443,18250.39
