"injury_count","degree_of_injury1","degree_of_injury2","Administrative_Support_Services","Community_Social_Services","Construction","Industry_Others","Financial_Insurance_Services","Scientific_Technical_Activities","Water_Supply_Management","Industrial_Machines","Lifting_Equipment","Pressurised_Equipments","Fire_Explosion","Stepping_Objects","rankP"
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.124492728357465
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.124492728357465
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.236656361663727
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.106306663442864
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0592423251448304
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.106306663442864
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.236656361663727
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.236656361663727
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.236656361663727
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.106306663442864
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.236656361663727
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.236656361663727
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.236656361663727
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.236656361663727
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.236656361663727
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.236656361663727
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.236656361663727
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.236656361663727
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.236656361663727
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.106306663442864
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.118912426203912
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0664958293649
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0664958293649
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0664958293649
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0664958293649
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0664958293649
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0664958293649
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0520994873533762
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0422925881601877
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0664958293649
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156583611396821
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0933906987618249
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.227527462065611
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.227527462065611
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.227527462065611
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.227527462065611
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.227527462065611
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.227527462065611
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.227527462065611
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.227527462065611
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.17635732687604
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.227527462065611
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.227527462065611
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0564509785681506
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.227527462065611
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.227527462065611
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.227527462065611
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.227527462065611
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.101537108782667
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.144807785631781
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.144807785631781
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.144807785631781
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.144807785631781
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.144807785631781
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.10960149777047
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.144807785631781
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.144807785631781
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.144807785631781
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.144807785631781
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.144807785631781
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.144807785631781
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.144807785631781
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.0332505134933324
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.10960149777047
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.144807785631781
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.144807785631781
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.140890900461171
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.184070214645753
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.184070214645753
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.184070214645753
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.184070214645753
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.184070214645753
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.184070214645753
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.184070214645753
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.184070214645753
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.184070214645753
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.184070214645753
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.184070214645753
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.184070214645753
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.184070214645753
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.184070214645753
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.184070214645753
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.184070214645753
